capacity,limit,threads,runtime
50000,10000,1,2
50000,10000,2,1
50000,10000,4,0
50000,10000,8,0
50000,10000,16,0
50000,10000,20,1
50000,100000,1,18
50000,100000,2,9
50000,100000,4,7
50000,100000,8,4
50000,100000,16,4
50000,100000,20,3
50000,1000000,1,766
50000,1000000,2,517
50000,1000000,4,258
50000,1000000,8,140
50000,1000000,16,80
50000,1000000,20,68
500000,10000,1,3
500000,10000,2,1
500000,10000,4,1
500000,10000,8,0
500000,10000,16,1
500000,10000,20,1
500000,100000,1,31
500000,100000,2,16
500000,100000,4,8
500000,100000,8,5
500000,100000,16,3
500000,100000,20,3
500000,1000000,1,354
500000,1000000,2,232
500000,1000000,4,124
500000,1000000,8,63
500000,1000000,16,39
500000,1000000,20,31
5000000,10000,1,4
5000000,10000,2,2
5000000,10000,4,1
5000000,10000,8,1
5000000,10000,16,1
5000000,10000,20,1
5000000,100000,1,34
5000000,100000,2,19
5000000,100000,4,10
5000000,100000,8,5
5000000,100000,16,4
5000000,100000,20,4
5000000,1000000,1,324
5000000,1000000,2,195
5000000,1000000,4,111
5000000,1000000,8,59
5000000,1000000,16,39
5000000,1000000,20,31
