capacity,limit,threads,runtime
50000,10000,1,2
50000,10000,2,1
50000,10000,4,0
50000,10000,8,0
50000,100000,1,13
50000,100000,2,12
50000,100000,4,8
50000,100000,8,4
50000,1000000,1,718
50000,1000000,2,534
50000,1000000,4,264
50000,1000000,8,152
500000,10000,1,3
500000,10000,2,2
500000,10000,4,1
500000,10000,8,1
500000,100000,1,27
500000,100000,2,15
500000,100000,4,8
500000,100000,8,5
500000,1000000,1,393
500000,1000000,2,207
500000,1000000,4,109
500000,1000000,8,63
5000000,10000,1,4
5000000,10000,2,2
5000000,10000,4,1
5000000,10000,8,1
5000000,100000,1,34
5000000,100000,2,19
5000000,100000,4,10
5000000,100000,8,6
5000000,1000000,1,317
5000000,1000000,2,195
5000000,1000000,4,117
5000000,1000000,8,62
