capacity,limit,threads,runtime
50000,10000,1,596
50000,10000,2,282
50000,10000,4,279
50000,10000,8,270
50000,10000,16,269
50000,10000,20,275
50000,100000,1,6342
50000,100000,2,2803
50000,100000,4,2788
50000,100000,8,2809
50000,100000,16,2750
50000,100000,20,2751
500000,10000,1,636
500000,10000,2,275
500000,10000,4,281
500000,10000,8,273
500000,10000,16,275
500000,10000,20,279
500000,100000,1,6332
500000,100000,2,2727
500000,100000,4,2713
500000,100000,8,2767
500000,100000,16,2720
500000,100000,20,2703
